Country,Year,KWH,CO2
New Caledonia,2003,12174582520.712002,3268323397.529884
New Caledonia,2004,11330299733.574,3028819619.7222714
New Caledonia,2005,28500538849.19,7962030406.940935
New Caledonia,2006,12338005829.548002,3304300216.690816
New Caledonia,2007,12914466897.6,3422645010.554097
New Caledonia,2008,29721400871.562416,8251391252.359684
New Caledonia,2009,13439522935.397999,3566479787.18766
New Caledonia,2010,16458696584.713001,4527794855.036987
New Caledonia,2011,16536245148.09,4499221180.775802
New Caledonia,2012,15997485563.138998,4313720462.30365
New Caledonia,2013,18742276264.660355,5072211946.733226
New Caledonia,2014,29691015271.70425,8702233843.502113
New Zealand,1990,39827426755265.11,13123273930706.268
New Zealand,1991,447574311625.09155,119310249613.07054
New Zealand,1992,456310847518.2494,122044543379.5411
New Zealand,1993,40911486800256.67,13450747977972.293
New Zealand,1994,467532602897.0596,125332691534.8624
New Zealand,1995,961631209199.753,240463038942.0418
New Zealand,1996,474272383796.05133,126952424384.40707
New Zealand,1997,69543667500984.695,22850965193637.562
New Zealand,1998,1137076369519.5337,260994451103.786
New Zealand,1999,1138254793161.6633,262574416053.18597
New Zealand,2000,1143138291001.8787,264104561170.4019
New Zealand,2001,432836172354.50336,116285728052.23303
New Zealand,2002,439582689426.304,118421996633.98773
New Zealand,2003,445349320757.72437,122380612046.55478
New Zealand,2004,451057563271.69434,124227417082.45914
New Zealand,2005,65444088751432.875,21362175726209.938
New Zealand,2006,435230218082.14075,120664543953.09715
New Zealand,2007,3437300593635.511,1028639603749.6302
New Zealand,2008,11965978137930.896,3770896451220.47
New Zealand,2009,554715597263.0382,151947071864.25034
New Zealand,2010,572850527703.5706,157545157417.96893
New Zealand,2011,563704528933.033,155199359092.25778
New Zealand,2012,576915002169.4128,159177218592.92056
New Zealand,2013,568894867633.6732,156170650312.16544
New Zealand,2014,70744303914667.58,23108268286712.766
Nicaragua,1990,65792710499.269806,22917869447.665764
Nicaragua,1991,67384784103.72771,23488954098.949932
Nicaragua,1992,68067106646.80503,23705430338.24194
Nicaragua,1993,101545798616.86943,24558341648.914707
Nicaragua,1994,69939887756.12415,24291922895.609562
Nicaragua,1995,104128752589.19304,25243420462.153004
Nicaragua,1996,72328570023.3325,24799246549.537273
Nicaragua,1997,107272945989.43199,25912872167.32433
Nicaragua,1998,78622796532.96625,26610910070.941372
Nicaragua,1999,79555228135.27766,26797414230.14638
Nicaragua,2000,81004921263.86662,27224638924.40337
Nicaragua,2001,80955940205.75516,27494773939.18709
Nicaragua,2002,82901962790.98041,27910049786.548534
Nicaragua,2003,83363822163.72475,28228662613.810265
Nicaragua,2004,84809588210.63551,28369798993.02944
Nicaragua,2005,116350902114.60493,28338643215.567837
Nicaragua,2006,83551380849.06567,27859473543.33822
Nicaragua,2007,85846170284.10709,28422011615.99832
Nicaragua,2008,118350057406.31172,28862577618.936394
Nicaragua,2009,85918923360.24008,28449498466.598343
Nicaragua,2010,86091846411.38466,28476739690.356007
Nicaragua,2011,88506120881.52104,29320800880.608284
Nicaragua,2012,88830163535.87038,29266569883.183754
Nicaragua,2013,89570904411.05426,29220241596.106365
Nicaragua,2014,91221061678.48164,29679913548.830357
Niger,1990,67412438756.584045,25901494083.172516
Niger,1991,69441846046.4628,26703014847.515415
Niger,1992,72933994644.89642,28072935786.297955
Niger,1993,645760799790.87,215412133108.19983
Niger,1994,78001720453.40755,30022220713.83926
Niger,1995,650366293262.41,217208236133.72742
Niger,1996,83407112852.87372,32071354770.97363
Niger,1997,655765689123.3579,219252227338.71808
Niger,1998,657663217460.6741,219981929733.84033
Niger,1999,659856856738.664,220828259089.3046
Niger,2000,661143360879.3917,221434431949.2357
